HG00126	chrY_haplotype1-0000017	+	2458320	62122805	14040026	101.597	52517795	84.0822
HG00140	chrY_haplotype1-0000004	+	2458320	62122808	14005510	101.347	66516581	106.495
HG00280	chrY_haplotype1-0000024	+	2458320	62122808	14079386	101.882	55936568	89.5558
HG00290	chrY_haplotype1-0000013	+	2458320	62122808	14054777	101.704	58868509	94.2499
HG002	chrY_pat-0000702	+	2458320	62122809	14135574	102.288	62412247	99.9235
HG003	chrY_haplotype1-0000002	+	2458320	62122809	14135503	102.288	59253811	94.8668
HG00321	chrY_haplotype2-0000065	+	2458320	27449931	13957698	101.001	37754623	60.4461
HG00321	chrY_haplotype2-0000041	+	62072743	62122808	50053	0.362196	7793185	12.4771
HG00329	chrY_haplotype1-0000012	+	2458320	62122808	14050864	101.676	56090397	89.8021
HG005	chrY_pat-0001218	+	2458320	27449931	14033725	101.551	47226598	75.6109
HG005	chrY_pat-0001233	+	62072743	62122808	50058	0.362232	11316471	18.1179
HG00609	chrY_haplotype1-0000011	+	2458320	62122808	14010849	101.386	71946244	115.188
HG00621	chrY_pat-0000611	-	2458320	62122808	13911094	100.664	50449105	80.7702
HG00642	chrY_haplotype1-0000004	+	2458320	62122808	13996616	101.283	38215009	61.1831
HG00658	chrY_pat-0000544	+	2458320	27449931	13900841	100.59	35468996	56.7867
HG00658	chrY_pat-0000537	+	62072743	62122808	50038	0.362087	18817762	30.1277
HG00673	chrY_haplotype1-0000012	+	2458320	27449931	13887988	100.497	31330896	50.1615
HG00673	chrY_haplotype2-0000096	+	62072743	62122808	50039	0.362095	17273868	27.6559
HG00706	chrY_haplotype1-0000020	+	2458320	62122808	13950814	100.952	53350410	85.4153
HG00738	chrY_pat-0000564	+	2458320	62122805	14046685	101.645	52337378	83.7934
HG01074	chrY_haplotype1-0000019	+	2458320	62122808	14070090	101.815	51860611	83.0301
HG01099	chrY_haplotype1-0000025	+	2458320	62122808	20050021	145.087	47743209	76.438
HG01106	chrY_pat-0000759	+	2458320	62122808	14096759	102.008	64367041	103.053
HG01109	chrY_pat-0000969	+	2458320	27449931	14024197	101.483	44130276	70.6536
HG01109	chrY_pat-0000951	+	62072743	62122808	50047	0.362152	4999715	8.00466
HG01167	haplotype1-0000001	+	2458320	62122808	14081747	101.899	61607448	98.635
HG01167	unassigned-0000467	+	11321267	62122781	90897	0.657753	1051923	1.68415
HG01167	unassigned-0000468	+	11321267	62122781	90894	0.657731	933256	1.49417
HG01192	haplotype1-0000011	+	2458320	62122808	13969605	101.088	44249239	70.8441
HG01192	haplotype1-0000025	-	10410168	11707788	527249	3.8153	13576244	21.7359
HG01192	haplotype1-0000025	+	10410480	62122781	348084	2.51882	13576244	21.7359
HG01243	chrY_haplotype1-0000012	+	2458320	22379926	13680476	98.9953	25201927	40.3489
HG01243	chrY_haplotype1-0000021	+	27122770	62122805	377128	2.72899	17613270	28.1993
HG01252	chrY_pat-0000532	+	2458320	62122808	14046756	101.646	56212762	89.998
HG01252	pat-0000707	+	PAR2
HG01255	chrY_haplotype1-0000016	+	2458320	62122809	14009642	101.377	50892274	81.4797
HG01258	chrY_pat-0000774	+	2458320	62122809	14009634	101.377	51107038	81.8236
HG01261	chrY_haplotype1-0000012	+	2458320	62122805	14039793	101.595	52239270	83.6363
HG01358	chrY_pat-0000434	+	2458320	62122805	14028987	101.517	52392321	83.8814
HG01433	chrY_pat-0000521	+	2458320	22379926	13715002	99.2451	23889289	38.2473
HG01433	chrY_pat-0000511	+	27122770	27449931	327153	2.36736	17401670	27.8605
HG01433	chrY_pat-0000498	+	62072743	62122809	50061	0.362254	22644248	36.254
HG01530	chrY_haplotype1-0000004	+	2458320	62122808	13996044	101.279	48089256	76.992
HG01928	chrY_pat-0000542	+	2458320	62122808	14079820	101.885	52297143	83.729
HG01934	chrY_haplotype1-0000010	+	2458320	62122805	14058240	101.729	52031904	83.3043
HG01943	chrY_haplotype1-0000026	-	2458320	62122805	14054236	101.7	52474664	84.0132
HG01952	chrY_haplotype1-0000014	+	2458320	62122808	14081469	101.897	51397562	82.2887
HG02015	chrY_haplotype1-0000001	+	2458320	27449931	15486639	112.065	31527434	50.4762
HG02015	chrY_haplotype2-0000121	+	62072743	62122808	50048	0.36216	6891848	11.034
HG02027	chrY_pat-0000390	+	2458320	62122808	13999985	101.307	67671062	108.343
HG02040	chrY_haplotype1-0000017	-	2458320	62122805	14018470	101.441	65111095	104.244
HG02055	chrY_pat-0000629	+	2458320	5877201	3418437	24.7367	9920889	15.8836
HG02055	chrY_pat-0000631	+	10255715	62122808	10614116	76.8064	44007233	70.4566
HG02056	chrY_pat-0000451	+	2458320	62122808	13961153	101.026	61667361	98.7309
HG02071	chrY_pat-0000661	-	2458320	62122808	13955853	100.988	52260275	83.6699
HG02071	chrY_pat-0001040	+	10565642	10883219	16134202	116.751	579073	0.92711
HG02071	chrY_pat-0001041	+	10565642	10883219	6443757	46.6286	232680	0.372526
HG02074	chrY_pat-0000739	-	2458320	62122808	14058225	101.729	54379215	87.0624
HG02074	chrY_pat-0000739	+	19973600	20084480	110879	0.802348	54379215	87.0624
HG02083	chrY_pat-0000362	+	2458320	62122808	14040850	101.603	71487452	114.453
